Date,entry_signals,exit_signals
2020-06-05,False,True
2020-06-12,False,True
2020-06-19,False,True
2020-06-26,False,True
2020-07-03,False,True
2020-07-10,False,True
2020-07-17,False,True
2020-07-24,False,True
2020-07-31,True,False
2020-08-07,False,True
2020-08-14,False,True
2020-08-21,False,True
2020-08-28,False,True
2020-09-04,False,True
2020-09-11,False,True
2020-09-18,False,True
2020-09-25,False,True
2020-10-02,False,True
2020-10-09,True,False
2020-10-16,False,True
2020-10-23,False,True
2020-10-30,False,True
2020-11-06,False,True
2020-11-13,False,True
2020-11-20,False,True
2020-11-27,False,True
2020-12-04,False,True
2020-12-11,True,False
2020-12-18,False,True
2020-12-25,True,False
2021-01-01,True,False
2021-01-08,True,False
2021-01-15,False,True
2021-01-22,False,True
2021-01-29,False,True
2021-02-05,False,True
2021-02-12,True,False
2021-02-19,False,True
2021-02-26,True,False
2021-03-05,False,True
2021-03-12,False,True
2021-03-19,True,False
2021-03-26,True,False
2021-04-02,False,True
2021-04-09,False,True
2021-04-16,False,True
2021-04-23,False,True
2021-04-30,True,False
2021-05-07,True,False
2021-05-14,False,True
2021-05-21,False,True
2021-05-28,False,True
