Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Duration,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,1028.4701095732055,2009-09-15,97.2318,0.0,2009-11-11,57,97.1572,0.0,-76.7238701741735,-0.0,Long,Closed,0
1,0,1030.0890796800752,2009-11-26,97.0045,0.0,2010-02-11,77,97.4004,0.0,407.81226664535643,0.0,Long,Closed,1
2,0,1022.3761544937107,2010-03-10,98.1352,0.0,2010-05-07,58,96.6972,0.0,-1470.1769101619575,-0.01,Long,Closed,2
3,0,1016.139379059964,2010-08-24,97.2907,0.0,2011-03-25,213,99.2026,0.0,1942.7568788247445,0.02,Long,Closed,3
4,0,1014.8095224038632,2011-04-19,99.3326,0.0,2011-06-15,57,99.2406,0.0,-93.36247606115649,-0.0,Long,Closed,4
5,0,1012.2625611649862,2011-07-19,99.4903,0.0,2011-08-16,28,98.8298,0.0,-668.5994216494728,-0.01,Long,Closed,5
6,0,1011.6739608364609,2011-12-20,98.8873,0.0,2012-05-02,134,100.9133,0.0,2049.651444654679,0.02,Long,Closed,6
7,0,1012.2928928453097,2012-08-16,100.8516,0.0,2012-11-21,97,101.4757,0.0,631.7719944247656,0.01,Long,Closed,7
8,0,1008.1658742176971,2012-12-12,101.8911,0.0,2013-06-14,184,103.1972,0.0,1316.765448315724,0.01,Long,Closed,8
9,0,1002.2290598054931,2013-07-22,103.8085,0.0,2013-09-06,46,103.4604,0.0,-348.8759357182862,-0.0,Long,Closed,9
10,0,996.975349587909,2013-09-24,104.0056,0.0,2014-02-06,135,104.7655,0.0,757.6015681518475,0.01,Long,Closed,10
11,0,993.7039625693754,2014-02-27,105.1104,0.0,2014-08-12,166,105.8737,0.0,758.4942346291937,0.01,Long,Closed,11
12,0,990.4456254060485,2014-08-31,106.222,0.0,2014-10-08,38,106.1115,0.0,-109.44424160735798,-0.0,Long,Closed,12
13,0,988.7581165600797,2014-11-06,106.2926,0.0,2015-01-02,57,106.2953,0.0,2.6696469147136668,0.0,Long,Closed,13
14,0,987.5828131753891,2015-02-10,106.4218,0.0,2015-05-27,106,106.7752,0.0,349.011766176176,0.0,Long,Closed,14
15,0,992.112468266458,2015-12-03,106.2877,0.0,2015-12-23,20,106.0121,0.0,-273.42619625423686,-0.0,Long,Closed,15
16,0,988.682318719143,2016-04-14,106.3799,0.0,2016-05-23,39,106.2381,0.0,-140.19515279437474,-0.0,Long,Closed,16
17,0,984.053737704133,2016-06-06,106.7378,0.0,2018-02-15,619,109.6483,0.0,2864.088403587899,0.03,Long,Closed,17
18,0,984.1785009805691,2018-06-04,109.6344,0.0,2018-06-22,18,109.6478,0.0,13.187991913146107,0.0,Long,Closed,18
19,0,982.4456346053871,2018-07-19,109.8412,0.0,2018-11-02,106,110.0025,0.0,158.46848086184764,0.0,Long,Closed,19
20,0,977.5225872805225,2019-02-25,110.5565,0.0,2019-05-31,95,110.5952,0.0,37.830124127765885,0.0,Long,Closed,20
21,0,970.1261508134256,2019-06-24,111.4384,0.0,2019-08-20,57,111.4902,0.0,50.2525346121256,0.0,Long,Closed,21
22,0,967.2804479004221,2019-09-06,111.8182,0.0,2020-02-28,175,111.6939,0.0,-120.23295967403101,-0.0,Long,Closed,22
23,0,963.3913085559468,2020-06-10,112.1448,0.0,2020-09-25,107,111.8022,0.0,-330.0578623112815,-0.0,Long,Closed,23
24,0,957.4327344258002,2021-01-07,112.498,0.0,2021-03-15,67,112.5143,0.0,15.606153571148752,0.0,Long,Closed,24
25,0,957.0822741758939,2021-03-26,112.5555,0.0,2021-10-27,215,113.4081,0.0,816.0083469623787,0.01,Long,Closed,25
26,0,957.4351659881922,2021-11-01,113.3663,0.0,2021-12-09,38,113.2971,0.0,-66.2545134863758,-0.0,Long,Closed,26
27,0,954.6495066298166,2021-12-29,113.6277,0.0,2022-01-27,29,112.9503,0.0,-646.679575791044,-0.01,Long,Closed,27
28,0,959.3891055587418,2022-08-26,112.3923,0.0,2022-09-15,20,112.2873,0.0,-100.73585608367284,-0.0,Long,Closed,28
29,0,954.8710258114008,2022-10-28,112.8186,0.0,2023-03-14,137,113.3237,0.0,482.30535513734503,0.0,Long,Closed,29
30,0,948.3743879732117,2023-04-14,114.1,0.0,2023-10-05,174,114.4694,0.0,350.32949891730095,0.0,Long,Closed,30
31,0,940.6784849532021,2023-11-28,115.4059,0.0,2024-05-09,163,116.5992,0.0,1122.5116360946413,0.01,Long,Closed,31
32,0,940.7906382944967,2024-05-10,116.5853,0.0,2024-07-08,59,116.7967,0.0,198.8831409354607,0.0,Long,Closed,32
33,0,940.3349494082825,2024-07-12,116.8533,0.0,2024-08-12,31,116.3544,0.0,-469.1331062597892,-0.0,Long,Closed,33
34,0,935.7460666019334,2024-08-31,116.925,0.0,2025-01-14,136,117.2634,0.0,316.6564689381048,0.0,Long,Closed,34
35,0,934.5697192458047,2025-01-27,117.411,0.0,2025-03-17,49,117.2532,0.0,-147.47510169698216,-0.0,Long,Closed,35
36,0,932.1727689719951,2025-06-19,117.5547,0.0,2025-11-05,139,118.126,0.0,532.5503029137035,0.0,Long,Open,36
