feature,importance
vix_x_cad_oas_lag5,0.08041926305309832
cad_oas_minus_us_ig_oas_lag5,0.0744567432815405
us_ig_oas_lag5,0.0740968289127515
us_hy_oas_lag10,0.0729292232701253
us_ig_oas_ma_10d_lag5,0.07050134141531729
us_ig_oas_ma_20d_lag5,0.06146846187974421
us_ig_oas_lag10,0.06032747688026461
us_ig_oas_ma_60d_lag5,0.035754487348136826
us_hy_oas_ma_10d_lag5,0.028180142794185875
us_hy_oas_lag5,0.02759262368102849
us_hy_oas_ma_20d_lag5,0.025949670921476327
tsx_1bf_sales_lag90,0.025180324526806474
cad_oas_minus_us_hy_oas_lag5,0.024745311167688033
vix_ma_20d_lag5,0.022980524446065038
vix_ma_10d_lag5,0.017522153846328194
spx_1bf_sales_ma_60d_lag5,0.016986279598773312
tsx_1bf_sales_lag60,0.016973540397564112
us_ig_oas_lag20,0.016369650579170475
vix_ma_60d_lag5,0.014911230047800357
us_economic_regime_ma_10d_lag5,0.014516544221310079
tsx_vol_60d_lag5,0.014502395966721348
tsx_1bf_sales_lag20,0.01354056094204089
vix_lag20,0.012084413516058158
economic_regime_lag5,0.011890439293365238
vix_lag10,0.011808820221247242
us_hy_oas_lag20,0.01156876850708055
us_lei_yoy_ma_20d_lag5,0.01149069805676206
us_lei_yoy_ma_10d_lag5,0.011038104263232826
spx_1bf_sales_lag60,0.010892735385191601
spx_1bf_sales_lag90,0.009540027390161427
us_ig_oas_lag60,0.009054898048483799
tsx_zscore_252d_lag5,0.0075117177320303255
spx_1bf_sales_lag20,0.007111641000450974
tsx_1bf_eps_lag90,0.006802614178548655
us_ig_oas_lag90,0.00586598461046932
us_economic_regime_lag5,0.005038050858774565
us_equity_revisions_ma_60d_lag5,0.004628468569778218
us_hard_data_surprises_ma_20d_lag5,0.004473650850840876
vix_lag5,0.00361791455012765
us_hard_data_surprises_ma_10d_lag5,0.0034282923953041734
us_hard_data_surprises_x_cad_oas_lag5,0.003382695660581159
tsx_1bf_eps_lag60,0.0028776130177011576
us_equity_revisions_ma_10d_lag5,0.0025373743493906694
us_ig_oas_minus_us_hy_oas_lag5,0.0023678179932333804
us_lei_yoy_lag5,0.0023220030135945326
us_hard_data_surprises_lag20,0.0019298530698501736
tsx_percentile_rank_252d_lag5,0.001924780189142508
us_economic_regime_ma_20d_lag5,0.0018254569254804996
us_hy_oas_kurt_252d_lag5,0.0017262858041886214
spx_1bf_eps_returns_60d_lag5,0.0017088730334166107
us_hy_oas_lag60,0.001499677454145348
us_hard_data_surprises_lag10,0.0013634478547495975
us_equity_revisions_vol_60d_lag5,0.0013545946794797203
us_economic_regime_lag20,0.001287551340859215
tsx_kurt_252d_lag5,0.0012414399581092113
spx_1bf_eps_returns_40d_lag5,0.001164139415794982
us_lei_yoy_lag10,0.0011426787834526771
cad_oas_zscore_252d_lag5,0.0008888490744506859
tsx_vol_20d_lag5,0.0008448998824337538
us_3m_10y_ma_60d_lag5,0.0007239508766145647
us_ig_oas_bb_width_lag5,0.0007184634848149338
us_economic_regime_lag90,0.000679368251001114
us_lei_yoy_lag20,0.0005853149923974389
us_economic_regime_ma_60d_lag5,0.0005313348741351858
us_equity_revisions_lag10,0.0005277992406249915
vix_vol_60d_lag5,0.0005223927690146975
us_equity_revisions_ma_20d_lag5,0.0005106423593971857
tsx_1bf_eps_returns_60d_lag5,0.0005084616138691541
tsx_1bf_eps_returns_20d_lag5,0.0005072523844748447
us_growth_surprises_lag10,0.0003947532423985703
us_3m_10y_ma_20d_lag5,0.0003036927552447421
spx_1bf_eps_vol_20d_lag5,0.00028793369278666905
spx_1bf_sales_returns_60d_lag5,0.0002473176661800434
us_growth_surprises_ma_10d_lag5,0.00017888770944557889
us_equity_revisions_vol_20d_lag5,0.0001708991193536593
tsx_1bf_sales_ma_60d_lag5,0.00014852443590995592
us_hy_oas_percentile_rank_252d_lag5,0.00014194448448772616
us_growth_surprises_x_cad_oas_lag5,0.00013074389447572814
us_growth_surprises_ma_60d_lag5,0.00010617971257110123
us_hy_oas_zscore_252d_lag5,0.00010503374500897927
us_hy_oas_returns_60d_lag5,9.575251846939932e-05
tsx_1bf_eps_ma_60d_lag5,9.316600185295362e-05
cad_oas_kurt_60d_lag5,9.159923183632386e-05
vix_lag60,9.009245042855659e-05
us_ig_oas_over_us_hy_oas_lag5,8.80776466031464e-05
us_ig_oas_ma_ratio_60d_lag5,7.289729405055667e-05
spx_1bf_sales_returns_40d_lag5,5.891623001370743e-05
us_hy_oas_ma_ratio_60d_lag5,5.687156374619062e-05
vix_returns_60d_lag5,5.5466393379858135e-05
spx_1bf_eps_vol_60d_lag5,2.724684200686048e-05
vix_percentile_rank_lag5,2.309147469714202e-05
momentum_dispersion_lag5,2.1891116007897012e-05
us_growth_surprises_lag90,1.8376204303346184e-05
cad_oas_percentile_rank_252d_lag5,1.837086046948493e-05
spx_1bf_eps_returns_10d_lag5,1.5242762028015964e-05
us_ig_oas_zscore_252d_lag5,0.0
tsx_percentile_rank_60d_lag5,0.0
us_economic_regime_lag60,0.0
vix_lag90,0.0
us_economic_regime_lag10,0.0
us_equity_revisions_lag90,0.0
cad_oas_bb_width_lag5,0.0
tsx_returns_20d_lag5,0.0
us_hy_oas_bb_width_lag5,0.0
us_ig_oas_returns_60d_lag5,0.0
us_growth_surprises_lag5,0.0
us_ig_oas_returns_40d_lag5,0.0
us_ig_oas_percentile_rank_252d_lag5,0.0
vix_above_median_lag5,0.0
tsx_zscore_60d_lag5,0.0
vix_percentile_rank_252d_lag5,0.0
vix_zscore_252d_lag5,0.0
us_hy_oas_returns_40d_lag5,0.0
spx_1bf_eps_vol_5d_lag5,0.0
us_ig_oas_skew_252d_lag5,0.0
spx_1bf_eps_vol_10d_lag5,0.0
spx_1bf_sales_returns_5d_lag5,0.0
tsx_returns_40d_lag5,0.0
spx_1bf_eps_returns_3d_lag5,0.0
spx_1bf_sales_returns_20d_lag5,0.0
tsx_1bf_eps_returns_40d_lag5,0.0
us_equity_revisions_lag60,0.0
us_equity_revisions_lag20,0.0
us_hy_oas_ma_60d_lag5,0.0
us_equity_revisions_lag5,0.0
us_hy_oas_lag90,0.0
spx_1bf_sales_returns_3d_lag5,0.0
spx_1bf_eps_returns_20d_lag5,0.0
us_lei_yoy_lag90,0.0
us_growth_surprises_ma_20d_lag5,0.0
us_lei_yoy_lag60,0.0
us_lei_yoy_ma_60d_lag5,0.0
spx_1bf_eps_returns_5d_lag5,0.0
us_hard_data_surprises_ma_60d_lag5,0.0
us_growth_surprises_lag20,0.0
spx_1bf_eps_returns_1d_lag5,0.0
us_economic_regime_returns_1d_lag5,0.0
us_economic_regime_ma_ratio_10d_lag5,0.0
us_growth_surprises_lag60,0.0
tsx_1bf_sales_ma_20d_lag5,0.0
us_hy_oas_vol_20d_lag5,0.0
us_hy_oas_vol_60d_lag5,0.0
us_ig_oas_vol_5d_lag5,0.0
spx_1bf_sales_returns_10d_lag5,0.0
us_ig_oas_vol_20d_lag5,0.0
us_ig_oas_vol_60d_lag5,0.0
tsx_vol_5d_lag5,0.0
tsx_vol_10d_lag5,0.0
tsx_returns_60d_lag5,0.0
us_ig_oas_vol_10d_lag5,0.0
