Date,Actual,Predicted,Deviation,Actual_t+10,Actual_t+30,Actual_t+60,Actual_t+90
2007-07-30,87.1211,80.3449,6.7762,88.2543,94.8809,111.097,104.0903
2007-07-27,86.7662,80.1306,6.6356,88.393,96.1569,112.1222,103.7861
2007-08-14,92.1168,86.1743,5.9425,95.2436,106.7448,97.9401,112.3422
2007-07-31,87.1666,81.2817,5.8849,88.4949,96.3587,111.097,104.0903
2007-08-01,87.8036,82.3108,5.4928,90.0368,96.7682,111.097,104.1395
2007-08-07,84.1152,89.5392,-5.424,94.0923,100.6698,96.3982,106.1319
2007-07-26,83.4623,78.3269,5.1354,88.393,96.1569,111.4876,103.1462
2007-07-11,77.2125,72.3618,4.8507,80.0231,88.4949,104.6963,95.597
2007-09-10,104.6963,100.1676,4.5286,108.4698,99.0039,112.3422,135.4978
2007-08-15,92.7063,88.4909,4.2153,96.1569,109.2686,97.9401,109.2485
