,cad_ig_er_index
Start,2003-12-05 00:00:00
End,2025-08-29 00:00:00
Period,7945 days 00:00:00
Start Value,100.0
End Value,133.0292272059672
Total Return [%],33.0292272059672
Benchmark Return [%],33.02922720596631
Max Gross Exposure [%],100.0
Total Fees Paid,0.0
Max Drawdown [%],15.379049603482569
Max Drawdown Duration,1428 days 00:00:00
Total Trades,1
Total Closed Trades,0
Total Open Trades,1
Open Trade PnL,33.0292272059672
Win Rate [%],
Best Trade [%],
Worst Trade [%],
Avg Winning Trade [%],
Avg Losing Trade [%],
Avg Winning Trade Duration,
Avg Losing Trade Duration,
Profit Factor,
Expectancy,
Sharpe Ratio,0.626094385028492
Calmar Ratio,0.08581666631401584
Omega Ratio,1.388811611269998
Sortino Ratio,0.8181249279969725
